survived,pclass,sex,age,sibsp,parch,fare,alone,has_cabin,family_size,is_alone,fare_per_person,age_group,fare_bin,sex_encoded,embarked_C,embarked_Q,embarked_S,title_man,title_woman
0,3,male,-0.3092756154954491,0,0,-0.5646970191586081,True,0,-0.5609748304808925,1,-0.42071519553533004,2,0,0,True,False,False,True,False
0,1,male,-0.7605067102423282,3,2,5.124238728242953,False,1,2.5396987052416584,0,0.787426123888799,2,3,0,False,False,True,True,False
1,3,female,-0.5724937540977952,0,0,-0.5493041703428477,True,0,-0.5609748304808925,1,-0.3976563436950911,2,0,1,False,True,False,False,True
0,3,male,-0.3092756154954491,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
0,1,male,0.8188021213717487,0,0,-0.08244579513222278,True,0,-0.5609748304808925,1,0.301708551861749,2,2,0,True,False,False,True,False
1,1,female,0.4427762090826827,1,0,2.7128315501938722,False,1,0.059159876663617626,0,1.9068612410450951,2,3,1,True,False,False,False,True
1,3,female,-0.5724937540977952,0,0,-0.5523441521022427,True,0,-0.5609748304808925,1,-0.4022103083202193,2,0,1,False,True,False,False,True
0,2,male,2.7741368652748912,0,0,-0.4876386579974721,True,0,-0.5609748304808925,1,-0.30527994671725833,3,1,0,False,False,True,True,False
0,1,male,-0.08366006812200955,1,0,1.1987229881422372,False,0,0.059159876663617626,0,0.7727760102904516,2,3,0,True,False,False,True,False
0,1,male,0.969212486287375,1,0,0.4888260712199769,False,0,0.059159876663617626,0,0.24105481868124892,2,3,0,False,False,True,True,False
1,3,male,-0.3092756154954491,0,0,-0.5645981962221572,True,0,-0.5609748304808925,1,-0.4205671564376092,2,0,0,True,False,False,True,False
0,3,male,-0.6100963453267019,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,female,-0.8357118927001413,2,0,-0.3111691286208247,False,0,0.6792945838081278,0,-0.46389326570392175,2,2,1,False,False,True,False,True
1,3,female,-1.136532622531394,1,0,-0.4701869980056509,False,0,0.059159876663617626,0,-0.4772573190136536,1,1,1,True,False,False,False,False
0,3,female,0.8188021213717487,1,0,-0.511756160345614,False,0,0.059159876663617626,0,-0.5083931135307357,2,1,1,False,False,True,False,True
0,2,female,-0.15886525057982273,1,0,-0.2405813168701657,False,0,0.059159876663617626,0,-0.30527994671725833,2,2,1,False,False,True,False,True
0,3,male,-0.3092756154954491,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,True,False,False,True,False
1,2,female,-1.9637896295673392,1,2,0.24363224832288793,False,0,1.299429290952638,0,-0.30898797364112435,0,3,1,True,False,False,False,False
1,3,female,-0.7605067102423282,0,0,-0.5493041703428477,True,0,-0.5609748304808925,1,-0.3976563436950911,2,0,1,False,True,False,False,True
0,3,male,-0.3092756154954491,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,-0.3092756154954491,1,0,-0.36999230507970715,False,0,0.059159876663617626,0,-0.4022103083202193,2,2,0,False,True,False,True,False
1,3,female,-0.5724937540977952,0,0,-0.5523441521022427,True,0,-0.5609748304808925,1,-0.4022103083202193,2,0,1,False,True,False,False,True
0,3,male,-0.3092756154954491,2,0,-0.22460023628981649,False,0,0.6792945838081278,0,-0.420665849169423,2,2,0,True,False,False,True,False
0,3,female,-0.8357118927001413,1,0,-0.3158749827375353,False,0,0.059159876663617626,0,-0.361675793468072,2,2,1,False,False,True,False,True
0,3,male,-1.6629688997360863,4,1,0.19912192715998075,False,0,2.5396987052416584,0,-0.4422307985275025,0,3,0,False,False,True,False,False
0,3,male,-0.6100963453267019,0,0,-0.5511676885730651,True,0,-0.5609748304808925,1,-0.4004479381092564,2,0,0,False,False,True,True,False
1,1,female,1.4956487634920672,1,0,1.0706861093347755,False,1,0.059159876663617626,0,0.676874872890693,2,3,1,True,False,False,False,True
1,2,female,-0.008454885664196365,1,0,-0.12293496395240078,False,0,0.059159876663617626,0,-0.21716143616911202,2,2,1,False,False,True,False,True
0,1,male,2.6989316828170784,0,1,0.7236293682273689,False,1,0.059159876663617626,0,0.41692526677366126,3,3,0,True,False,False,True,False
1,1,male,0.8188021213717487,0,0,0.10059310659135261,True,1,-0.5609748304808925,1,0.575905158764205,2,3,0,False,False,True,True,False
1,2,female,-0.6100963453267019,0,0,-0.4876386579974721,True,0,-0.5609748304808925,1,-0.30527994671725833,2,1,1,False,False,True,False,True
0,3,male,-0.04605747689310296,0,0,-0.5645981962221572,True,0,-0.5609748304808925,1,-0.4205671564376092,2,0,0,True,False,False,True,False
1,2,female,-1.8133792646517128,1,2,-0.08175874043118304,False,0,1.299429290952638,0,-0.4308488242483669,0,2,1,False,False,True,False,False
0,3,male,-1.3621481699048337,5,2,0.36882679124385664,False,0,3.779968119530679,0,-0.4687397837840698,0,3,0,False,False,True,False,False
0,3,male,-0.5348911628688886,0,0,-0.5645981962221572,True,0,-0.5609748304808925,1,-0.4205671564376092,2,0,0,True,False,False,True,False
1,1,female,0.6683917564561223,0,0,1.1476456475594605,True,1,-0.5609748304808925,1,2.1444146465212097,2,3,1,False,False,True,False,True
0,1,male,1.1948280336608146,1,0,1.229409862837307,False,1,0.059159876663617626,0,0.79576084258183,2,3,0,False,False,True,True,False
0,3,male,-1.8885844471095259,3,2,-0.07822934984365013,False,0,2.5396987052416584,0,-0.5114772613999208,0,2,0,False,False,True,False,False
0,1,male,0.8188021213717487,0,0,-0.08244579513222278,True,0,-0.5609748304808925,1,0.301708551861749,2,2,0,True,False,False,True,False
1,3,male,-0.3092756154954491,1,1,-0.3759734456620463,False,0,0.6792945838081278,0,-0.4962527326041491,2,2,0,True,False,False,True,False
1,2,female,-0.008454885664196365,0,0,-0.4876386579974721,True,1,-0.5609748304808925,1,-0.30527994671725833,2,1,1,False,False,True,False,True
0,3,male,-0.7605067102423282,0,0,-0.5427371509229781,True,0,-0.5609748304808925,1,-0.38781879317749607,2,1,0,False,False,True,True,False
1,3,female,-0.9109170751579546,4,2,-0.548226529750121,False,0,3.1598334123861687,0,-0.6354725940998125,1,1,1,False,False,True,False,True
0,3,male,-0.23407043303763592,2,0,-0.5308736926947507,False,0,0.6792945838081278,0,-0.573600811336364,2,1,0,False,False,True,True,False
0,2,male,0.2171606617092432,0,0,-0.4876386579974721,True,0,-0.5609748304808925,1,-0.30527994671725833,2,1,0,False,False,True,True,False
0,3,female,-0.9861222576157678,5,2,0.36882679124385664,False,0,3.779968119530679,0,-0.4687397837840698,1,3,1,False,False,True,False,True
0,2,male,-0.6100963453267019,0,0,0.994705388766366,True,0,-0.5609748304808925,1,1.9153065190960292,2,3,0,False,False,True,True,False
0,3,male,-0.23407043303763592,1,0,-0.3945992162559869,False,0,0.059159876663617626,0,-0.4206411759864696,2,1,0,True,False,False,True,False
1,3,male,0.2171606617092432,0,0,0.5946089659095145,True,0,-0.5609748304808925,1,1.3159526082709134,2,3,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5546970791605981,True,1,-0.5609748304808925,1,-0.40573504874214517,2,0,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
1,2,male,-2.126984875500794,0,2,-0.052347152201741805,False,0,0.6792945838081278,0,-0.33465278356664047,0,2,0,False,False,True,False,False
1,3,female,0.06675029679361683,0,0,-0.44116834859495496,True,0,-0.5609748304808925,1,-0.23566632338422278,2,1,1,False,False,True,False,True
0,3,male,-0.5348911628688886,0,0,-0.5229325638728015,True,0,-0.5609748304808925,1,-0.35815105304614614,2,1,0,False,False,True,True,False
1,3,male,-0.008454885664196365,0,0,-0.5111679285810251,True,0,-0.5609748304808925,1,-0.34052735093651687,2,1,0,False,False,True,True,False
1,3,female,-0.5724937540977952,0,0,-0.5514618044553596,True,0,-0.5609748304808925,1,-0.40088853066199714,2,0,1,False,True,False,False,True
0,1,male,-0.08366006812200955,0,0,0.3735326453605673,True,0,-0.5609748304808925,1,0.984775047707604,2,3,0,False,False,True,True,False
1,2,female,-0.9109170751579546,0,0,-0.4876386579974721,True,0,-0.5609748304808925,1,-0.30527994671725833,1,1,1,False,False,True,False,True
1,3,female,0.29236584416705635,3,0,-0.3617570603754636,False,0,1.299429290952638,0,-0.535709851800661,2,2,1,False,False,True,False,True
0,3,male,-0.9861222576157678,1,3,0.0741226771848555,False,0,1.9195639980971482,0,-0.43305178701207053,1,3,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
1,1,female,-0.45968598041107545,3,2,5.124238728242953,False,1,2.5396987052416584,0,0.787426123888799,2,3,1,False,False,True,False,True
0,3,male,-0.3844807979532623,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,-0.008454885664196365,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,-0.685301527784515,0,0,-0.5498924021074366,True,0,-0.5609748304808925,1,-0.39853752880057264,2,0,0,False,False,True,True,False
0,1,male,1.2700332161186279,1,0,0.7047071288240755,False,1,0.059159876663617626,0,0.4027522855370974,2,3,0,False,False,True,True,False
0,3,male,-0.23407043303763592,1,2,-0.25058125686817573,False,0,1.299429290952638,0,-0.49407385556666183,2,2,0,False,False,True,True,False
0,3,male,2.2477005880701992,0,0,-0.5641087873940193,True,0,-0.5609748304808925,1,-0.4198340104298486,2,0,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,1,male,3.1501627775639576,0,0,0.08069204953178356,True,1,-0.5609748304808925,1,0.5460929042755562,3,3,0,True,False,False,True,False
1,1,male,-0.45968598041107545,0,1,0.7560785852891467,False,1,0.059159876663617626,0,0.441230114353051,2,3,0,True,False,False,True,False
1,2,female,0.36757102662486957,0,1,-0.19352277570305973,False,0,0.059159876663617626,0,-0.27003254249799985,2,2,1,False,False,True,False,True
0,2,male,0.36757102662486957,1,0,-0.12293496395240078,False,0,0.059159876663617626,0,-0.21716143616911202,2,2,0,False,False,True,True,False
0,3,female,-0.08366006812200955,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,1,False,False,True,False,True
0,3,male,-0.3092756154954491,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
0,1,male,-0.6100963453267019,0,1,1.083822501101573,False,1,0.059159876663617626,0,0.6867141857784989,2,3,0,False,False,True,True,False
0,3,male,0.29236584416705635,0,0,-0.5310689856405942,True,0,-0.5609748304808925,1,-0.37033960542516575,2,1,0,False,False,True,True,False
0,3,male,0.5931865739983091,2,0,-0.548226529750121,False,0,0.6792945838081278,0,-0.5822657982069317,2,1,0,False,False,True,True,False
0,3,male,-0.08366006812200955,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
1,3,female,-0.6100963453267019,0,0,-0.5546970791605981,True,0,-0.5609748304808925,1,-0.40573504874214517,2,0,1,False,False,True,False,True
1,3,male,-0.3092756154954491,0,0,-0.551755920337654,True,0,-0.5609748304808925,1,-0.40132912321473785,2,0,0,False,False,True,True,False
0,3,male,0.6683917564561223,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
1,3,female,-0.5724937540977952,1,0,-0.16646411453197382,False,0,0.059159876663617626,0,-0.2497652850719262,2,2,1,False,True,False,False,True
0,1,male,1.345238398576441,0,0,0.4888260712199769,True,1,-0.5609748304808925,1,1.1574873283819709,2,3,0,False,False,True,True,False
0,3,female,-1.0989300313024875,1,0,-0.3945992162559869,False,0,0.059159876663617626,0,-0.4206411759864696,1,1,1,True,False,False,False,False
0,3,male,-0.5348911628688886,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,female,-0.685301527784515,1,0,-0.5035209156413704,False,0,0.059159876663617626,0,-0.5022248177923654,2,1,1,False,False,True,False,True
0,3,female,-0.9109170751579546,0,0,-0.39450274624659437,True,0,-0.5609748304808925,1,-0.16576014659616733,1,2,1,True,False,False,False,True
0,3,male,-0.6100963453267019,0,0,-0.548226529750121,True,0,-0.5609748304808925,1,-0.39604201258184907,2,1,0,False,False,True,True,False
0,3,male,3.1125601863350507,0,0,-0.5523441521022427,True,0,-0.5609748304808925,1,-0.4022103083202193,3,0,0,False,True,False,True,False
0,2,male,-0.008454885664196365,1,0,-0.2405813168701657,False,0,0.059159876663617626,0,-0.30527994671725833,2,2,0,False,False,True,True,False
0,1,male,-0.3844807979532623,0,1,5.089287879132724,False,1,0.059159876663617626,0,3.6868551541176506,2,3,0,True,False,False,True,False
0,3,female,-2.038994812025152,4,2,0.0011819383758412065,False,0,3.1598334123861687,0,-0.5178973243112858,0,3,1,False,False,True,False,False
0,2,male,-0.6100963453267019,2,0,0.994705388766366,False,0,0.6792945838081278,0,0.18818371235236112,2,3,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,2,male,0.2547632529381498,1,0,-0.027152009260873307,False,0,0.059159876663617626,0,-0.14541886962123324,2,2,0,True,False,False,True,False
1,2,female,0.2547632529381498,0,0,-0.4288154815385896,True,1,-0.5609748304808925,1,-0.21716143616911202,2,1,1,False,False,True,False,True
0,1,male,1.8716746757811333,0,1,1.083822501101573,False,1,0.059159876663617626,0,0.6867141857784989,2,3,0,False,False,True,True,False
1,3,male,-1.2869429874470204,1,0,-0.4701869980056509,False,0,0.059159876663617626,0,-0.4772573190136536,0,1,0,True,False,False,False,False
0,3,male,-0.3092756154954491,0,0,-0.5523441521022427,True,0,-0.5609748304808925,1,-0.4022103083202193,2,0,0,False,True,False,True,False
1,3,male,-0.3844807979532623,0,0,-0.5666570073982181,True,0,-0.5609748304808925,1,-0.42365130430679426,2,0,0,False,False,True,True,False
1,3,female,-0.5724937540977952,1,1,-0.20862150863652568,False,1,0.6792945838081278,0,-0.412687011767657,2,2,1,True,False,False,False,True
0,3,male,1.1948280336608146,0,0,-0.5705793368044965,True,0,-0.5609748304808925,1,-0.4295270465901447,2,0,0,False,False,True,True,False
0,3,male,0.29236584416705635,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,True,False,False,True,False
0,3,male,-0.685301527784515,0,0,-0.5688146415107299,True,0,-0.5609748304808925,1,-0.4268834912737003,2,0,0,False,False,True,True,False
0,3,female,1.345238398576441,1,0,-0.3935215756632601,False,0,0.059159876663617626,0,-0.4198340104298486,2,2,1,False,False,True,False,True
1,2,female,-0.008454885664196365,1,0,-0.12293496395240078,False,0,0.059159876663617626,0,-0.21716143616911202,2,2,1,False,False,True,False,True
0,2,male,-0.3092756154954491,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
0,2,male,-0.45968598041107545,0,0,-0.3806792997787569,True,0,-0.5609748304808925,1,-0.14505229661735292,2,2,0,True,False,False,True,False
1,1,female,-0.7605067102423282,0,2,-0.1162691215960802,False,1,0.6792945838081278,0,-0.366571657914127,2,2,1,False,False,True,False,True
0,1,male,0.5931865739983091,1,0,0.5147082688618853,False,1,0.059159876663617626,0,0.26044089100184115,2,3,0,False,False,True,True,False
0,3,male,-0.9861222576157678,0,0,-0.5178337709373456,True,0,-0.5609748304808925,1,-0.35051294055183285,1,1,0,False,False,True,True,False
0,1,male,-0.3844807979532623,0,0,1.1288222310926181,True,1,-0.5609748304808925,1,2.116216723145803,2,3,0,True,False,False,True,False
0,3,female,-0.5724937540977952,0,2,-0.3759734456620463,False,0,0.6792945838081278,0,-0.4962527326041491,2,2,1,True,False,False,False,True
1,3,female,-0.5348911628688886,0,0,-0.5523441521022427,True,0,-0.5609748304808925,1,-0.4022103083202193,2,0,1,False,False,True,False,True
1,3,female,-0.3844807979532623,1,0,-0.3617570603754636,False,0,0.059159876663617626,0,-0.39604201258184907,2,2,1,False,False,True,False,True
0,3,male,-0.7605067102423282,0,0,-0.5758734226857958,True,0,-0.5609748304808925,1,-0.43745771253947785,2,0,0,False,True,False,True,False
0,2,male,-0.8357118927001413,0,0,-0.4641093874139191,True,0,-0.5609748304808925,1,-0.27003254249799985,2,1,0,False,False,True,True,False
0,2,male,-0.7605067102423282,1,1,0.13000469482079385,False,0,0.6792945838081278,0,-0.24359698933355592,2,3,0,False,False,True,True,False
1,3,male,-0.15886525057982273,0,0,-0.5512665115095161,True,0,-0.5609748304808925,1,-0.4005959772069773,2,0,0,False,False,True,True,False
0,3,female,-1.51255853482046,2,2,0.0741226771848555,False,0,1.9195639980971482,0,-0.43305178701207053,0,3,1,False,False,True,False,False
0,2,male,0.5555839827694025,0,2,-0.12293496395240078,False,1,0.6792945838081278,0,-0.369900187785899,2,2,0,False,False,True,True,False
0,2,male,0.969212486287375,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
0,2,male,1.6460591284076938,0,0,-0.43999188506577724,True,0,-0.5609748304808925,1,-0.23390395317325982,2,1,0,False,False,True,True,False
1,1,female,-0.5348911628688886,1,0,0.8323534217398503,False,1,0.059159876663617626,0,0.4983608694818361,2,3,1,False,False,True,False,True
0,3,male,1.984482449467853,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,0.8564047126006552,0,2,-0.3935215756632601,False,0,0.6792945838081278,0,-0.5050152372930568,2,2,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5626382079825473,True,0,-0.5609748304808925,1,-0.41763104766614495,2,0,0,False,False,True,True,False
0,1,male,1.6460591284076938,0,1,0.7095118058772371,False,0,0.059159876663617626,0,0.4063510455078837,2,3,0,True,False,False,True,False
1,3,female,-0.9861222576157678,0,0,-0.5527370909209881,True,0,-0.5609748304808925,1,-0.40279893997068095,1,0,1,False,True,False,False,True
0,3,male,0.06675029679361683,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5308736926947507,True,0,-0.5609748304808925,1,-0.3700470519701459,2,1,0,False,False,True,True,False
0,3,male,-0.3092756154954491,8,2,0.9017647699613317,False,0,5.64037224096421,0,-0.4525179670695247,2,3,0,False,False,True,True,False
0,3,male,1.1196228512030013,0,1,-0.3558747427295753,False,0,0.059159876663617626,0,-0.39163608705444175,2,2,0,False,False,True,True,False
1,2,female,0.8188021213717487,0,0,-0.3641099874338189,True,0,-0.5609748304808925,1,-0.12023107456615106,2,2,1,False,False,True,False,True
0,3,male,-0.23407043303763592,0,0,-0.551755920337654,True,0,-0.5609748304808925,1,-0.40132912321473785,2,0,0,False,False,True,True,False
0,3,male,-0.9109170751579546,0,0,-0.5308736926947507,True,0,-0.5609748304808925,1,-0.3700470519701459,1,1,0,False,False,True,True,False
0,3,male,-2.1141999944829655,4,1,0.19912192715998075,False,0,2.5396987052416584,0,-0.4422307985275025,0,3,0,False,False,True,False,False
1,3,male,-1.51255853482046,0,2,-0.2517577203973534,False,0,0.6792945838081278,0,-0.4342267004860459,0,2,0,False,False,True,False,False
1,1,female,0.4427762090826827,0,1,0.5594138829706359,False,1,0.059159876663617626,0,0.2939259250101367,2,3,1,False,False,True,False,True
0,3,female,1.1948280336608146,1,4,-0.07822934984365013,False,0,2.5396987052416584,0,-0.5114772613999208,2,2,1,False,False,True,False,True
0,1,male,0.8188021213717487,0,0,-0.12469965924616723,True,0,-0.5609748304808925,1,0.23841126336480456,2,2,0,False,False,True,True,False
0,3,male,-0.08366006812200955,0,0,0.5946089659095145,True,0,-0.5609748304808925,1,1.3159526082709134,2,3,0,False,False,True,True,False
0,1,male,2.3981109529858253,0,0,0.05353456542424664,True,1,-0.5609748304808925,1,0.5054103503256879,3,3,0,False,False,True,True,False
0,3,male,-1.8885844471095259,4,1,-0.04940599337879768,False,0,2.5396987052416584,0,-0.5042809163718222,0,2,0,False,True,False,False,False
1,3,female,-2.1141999944829655,1,1,-0.47273757093690794,False,0,0.6792945838081278,0,-0.5445710492213827,0,1,1,False,False,True,False,False
0,3,male,-0.6100963453267019,0,0,-0.548226529750121,True,0,-0.5609748304808925,1,-0.39604201258184907,2,1,0,False,False,True,True,False
0,1,male,2.0220850406967594,0,0,-0.012446215146152687,True,1,-0.5609748304808925,1,0.4065695794140431,2,2,0,True,False,False,True,False
0,3,male,-0.8357118927001413,1,1,-0.5498924021074366,False,0,0.6792945838081278,0,-0.5830976369465062,2,0,0,False,False,True,True,False
0,3,male,-0.3092756154954491,3,1,-0.1354831239546096,False,0,1.9195639980971482,0,-0.49585067721335474,2,2,0,False,False,True,True,False
0,1,female,1.5708539459498805,0,0,-0.05911181749451332,True,1,-0.5609748304808925,1,0.33666340262598765,2,2,1,True,False,False,False,True
0,2,male,0.06675029679361683,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
0,3,male,0.5179813915404959,0,0,-0.7346959991247785,True,0,-0.5609748304808925,1,-0.675377691019473,2,0,0,False,False,True,True,False
0,3,female,-0.5724937540977952,8,2,0.9017647699613317,False,0,5.64037224096421,0,-0.4525179670695247,2,3,1,False,False,True,False,True
0,2,male,0.06675029679361683,0,0,-0.38058047684230595,True,0,-0.5609748304808925,1,-0.144904257519632,2,2,0,True,False,False,True,False
0,3,male,-1.51255853482046,4,2,0.003828981316490934,False,0,3.1598334123861687,0,-0.5173308481720477,0,3,0,False,False,True,False,False
1,2,male,-2.1141999944829655,2,1,0.18294555363378806,False,1,1.299429290952638,0,-0.33171549988170224,0,3,0,False,False,True,False,False
1,3,female,-1.8885844471095259,0,2,-0.21646381452202393,False,0,0.6792945838081278,0,-0.4166029983764166,0,2,1,False,False,True,False,False
0,1,male,0.8188021213717487,0,0,0.44176753005287095,True,1,-0.5609748304808925,1,1.0869925199434538,2,3,0,False,False,True,True,False
1,3,female,-0.5724937540977952,1,0,-0.36999230507970715,False,0,0.059159876663617626,0,-0.4022103083202193,2,2,1,False,True,False,False,True
1,1,male,1.1948280336608146,0,0,-0.10999386513144661,True,0,-0.5609748304808925,1,0.26044089100184115,2,2,0,False,False,True,True,False
0,3,male,0.8188021213717487,1,1,-0.36999230507970715,False,0,0.6792945838081278,0,-0.49326610255330383,2,2,0,False,True,False,True,False
0,3,male,0.5179813915404959,0,0,-0.5489135844511608,True,0,-0.5609748304808925,1,-0.3970712367850514,2,0,0,False,False,True,True,False
1,2,female,0.2171606617092432,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,1,False,False,True,False,True
0,2,male,-0.7605067102423282,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
1,3,female,-0.7605067102423282,1,0,-0.5498924021074366,False,0,0.059159876663617626,0,-0.5369576099100228,2,0,1,False,False,True,False,True
1,2,male,-1.9637896295673392,1,1,-0.12293496395240078,False,1,0.6792945838081278,0,-0.369900187785899,0,2,0,False,False,True,False,False
1,1,female,1.1196228512030013,0,0,-0.08244579513222278,True,1,-0.5609748304808925,1,0.301708551861749,2,2,1,True,False,False,False,True
1,1,female,2.172495405612386,0,0,2.7128315501938722,True,1,-0.5609748304808925,1,4.489100173109663,2,3,1,True,False,False,False,True
